title,url
"National Institute of Technology, Kumamoto College » HOME",http://www.kumamoto-nct.ac.jp/english-home.html
熊本高等専門学校 » 校章・校歌,http://www.kumamoto-nct.ac.jp/general/school/symbol-2.html
熊本高等専門学校 » 組織,http://www.kumamoto-nct.ac.jp/general/school/organization.html
熊本高等専門学校 » 沿革,http://www.kumamoto-nct.ac.jp/general/school/history.html
熊本高等専門学校 » 三つの方針,http://www.kumamoto-nct.ac.jp/general/school/threepolicies.html
熊本高等専門学校 » 本校の目的・理念、育成する人材像,http://www.kumamoto-nct.ac.jp/general/school/philosophy.html
熊本高等専門学校 » 熊本高専について,http://www.kumamoto-nct.ac.jp/general/school/about.html
熊本高等専門学校 » 校長挨拶,http://www.kumamoto-nct.ac.jp/general/school/greeting.html
熊本高等専門学校 » 学校案内,http://www.kumamoto-nct.ac.jp/general.html
熊本高等専門学校 » サイトマップ,http://www.kumamoto-nct.ac.jp/sitemap.html
熊本高等専門学校 » お問い合わせ,http://www.kumamoto-nct.ac.jp/inquiry.html
熊本高等専門学校 » 交通アクセス・キャンパスマップ,http://www.kumamoto-nct.ac.jp/general/access.html
熊本高等専門学校 » 各種評価・JABEE,http://www.kumamoto-nct.ac.jp/hyoka.html
熊本高等専門学校 » 公開情報,http://www.kumamoto-nct.ac.jp/general/openinfo.html
熊本高等専門学校 » リンク集,http://www.kumamoto-nct.ac.jp/link.html
熊本高等専門学校 » ホームページへのご意見・ご要望,http://www.kumamoto-nct.ac.jp/inquiry/webmaster.html
"National Institute of Technology, Kumamoto College » Faculty of Liberal Studies",http://www.kumamoto-nct.ac.jp/english-home/department/faculty-of-liberal-studies.html
ALL in Oneメール Pro,https://mail.kumamoto-nct.ac.jp/am_bin/amlogin
"National Institute of Technology, Kumamoto College » Department of Biological and Chemical Systems Engineering",http://www.kumamoto-nct.ac.jp/english-home/department/department-of-biological-and-chemical-systems-engineering.html
"
	合志市ホームページ
",http://www.city.koshi.lg.jp/
日工教のご紹介  |   日本工学教育協会,https://www.jsee.or.jp/about/
熊本高等専門学校 » 教員数：男女・役職別構成,http://www.kumamoto-nct.ac.jp/general/school/organization/kyouin-kosei2.html
多言語翻訳開始ページ,http://www.city.koshi.lg.jp/honyaku/index.htm
"
	八代市
",http://www.city.yatsushiro.lg.jp/
"
	分類でさがす / 八代市
",http://www.city.yatsushiro.lg.jp/classset001.html
"
	バナー広告についてのお問い合わせ / 合志市ホームページ
",http://www.city.koshi.lg.jp/one_html3/pub/default.aspx?c_id=93
